Days Coefficient,Swap Threshold,Trade Threshold,Annualized Return,Standard Deviation,Downside Deviation,Max Drawdown,Swap Count,Trade Days Count
20,0.005,0.03,9.89,26.74,22.22,-50.36,3110,1391
70,0.002,0.015,9.87,26.14,21.87,-49.02,3424,1554
150,0.002,0.015,9.87,25.36,21.22,-45.09,3251,1531
70,0.002,0.02,9.86,26.16,21.89,-48.92,3376,1504
60,0.01,0.02,9.84,26.21,21.8,-48.97,3054,1505
30,0.01,0.03,9.83,26.67,22.29,-50.75,2901,1385
50,0.015,0.015,9.83,26.32,21.91,-49.13,2934,1573
20,0.015,0.015,9.83,26.69,22.15,-50.58,2892,1571
5,0.005,0.03,9.82,26.9,22.04,-49.2,3060,1374
60,0.015,0.015,9.81,26.24,21.87,-49.02,2920,1561
5,0.005,0.015,9.81,26.87,22.02,-49.04,3246,1539
60,0.01,0.04,9.81,26.23,21.84,-48.62,2827,1290
20,0.005,0.05,9.81,26.72,22.18,-51.04,2837,1184
20,0.015,0.04,9.81,26.64,22.15,-50.43,2647,1301
80,0.005,0.04,9.8,25.84,21.47,-46.97,2985,1277
30,0.002,0.015,9.79,26.68,22.24,-50.91,3423,1549
70,0.005,0.015,9.78,26.17,21.89,-48.9,3289,1554
100,0.015,0.02,9.77,25.58,21.38,-46.3,2871,1517
5,0.002,0.03,9.76,26.93,22.1,-49.25,3172,1369
0,0.005,0.04,9.76,26.96,22.04,-49.05,2892,1255
150,0.002,0.02,9.76,25.35,21.22,-44.81,3212,1490
70,0.005,0.02,9.75,26.18,21.9,-48.9,3254,1509
100,0.015,0.03,9.75,25.63,21.44,-46.75,2755,1396
20,0.002,0.05,9.74,26.7,22.09,-50.96,2899,1178
15,0.002,0.02,9.73,26.75,22.21,-50.59,3359,1501
70,0.01,0.04,9.72,26.17,21.91,-48.46,2813,1289
15,0.002,0.015,9.71,26.74,22.18,-50.59,3411,1554
70,0.005,0.03,9.7,26.21,21.97,-48.66,3145,1399
30,0.005,0.015,9.7,26.72,22.31,-51.12,3260,1547
60,0.01,0.03,9.7,26.21,21.86,-48.87,2953,1391
60,0.015,0.04,9.69,26.27,21.85,-48.86,2672,1303
90,0.002,0.05,9.68,25.75,21.52,-47.03,2979,1182
150,0.005,0.015,9.68,25.36,21.22,-45.02,3143,1541
80,0.005,0.05,9.66,25.82,21.41,-46.8,2847,1181
150,0.005,0.02,9.66,25.36,21.22,-44.74,3108,1499
0,0.002,0.04,9.66,26.96,22.02,-49.1,2999,1253
100,0.015,0.015,9.64,25.59,21.38,-46.14,2905,1562
50,0.015,0.02,9.63,26.32,21.9,-49.2,2890,1524
0,0.005,0.02,9.62,26.96,22.04,-48.83,3176,1481
60,0.015,0.03,9.59,26.24,21.9,-48.95,2788,1405
50,0.005,0.015,9.58,26.32,21.91,-49.61,3290,1559
10,0.015,0.02,9.58,26.79,22.0,-49.62,2819,1498
150,0.01,0.015,9.58,25.34,21.18,-44.76,2969,1543
